filename	listnumber	participant	grammar	fluency	verbosity	structure	success	overall	recipeid	dish	condition	order	experience	time.s	tim.min
list_1.csv	1	participant_16	6	5	5	5	5	5	baked_ziti_5	Baked Ziti	dependency	11	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	1	1	4	5	6	3	baked_ziti_5	Baked Ziti	dependency	7	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	4	1	1	2	2	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	10	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	5	2	2	1	3	2	blueberry_banana_bread_10	Blueberry Banana Bread	coref	9	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	1	1	4	4	3	2	blueberry_banana_bread_10	Blueberry Banana Bread	coref	6	less than once per month	927	15.45
list_1.csv	1	participant_3	2	1	1	1	2	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	11	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	4	3	3	4	1	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	12	4-5 times per week	396	6.6
list_1.csv	1	participant_5	1	1	1	2	1	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	1	1	1	1	1	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	2	2	1	3	3	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	1	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	2	1	1	3	3	2	blueberry_banana_bread_10	Blueberry Banana Bread	coref	4	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	3	2	1	2	2	2	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	5	4	3	3	5	4	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	1-3 times per week	402	6.7
list_1.csv	1	participant_11	4	4	4	5	4	5	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	3	3	1	4	5	3	blueberry_banana_bread_10	Blueberry Banana Bread	coref	10	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	2	2	2	2	1	2	blueberry_banana_bread_10	Blueberry Banana Bread	coref	11	1-3 times per week	618	10.3
list_1.csv	1	participant_14	1	1	1	1	1	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	12	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	2	1	2	1	2	3	blueberry_banana_bread_10	Blueberry Banana Bread	coref	3	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	5	3	2	3	4	5	blueberry_banana_bread_10	Blueberry Banana Bread	coref	8	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	1	1	1	1	1	1	blueberry_banana_bread_10	Blueberry Banana Bread	coref	3	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	2	2	5	5	5	3	cauliflower_mash_3	Cauliflower Mash	no_context	11	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	3	4	5	5	5	4	cauliflower_mash_3	Cauliflower Mash	no_context	7	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	2	1	4	4	1	1	cauliflower_mash_3	Cauliflower Mash	no_context	7	less than once per month	927	15.45
list_1.csv	1	participant_3	1	1	1	5	1	1	cauliflower_mash_3	Cauliflower Mash	no_context	3	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	3	3	4	3	2	2	cauliflower_mash_3	Cauliflower Mash	no_context	10	4-5 times per week	396	6.6
list_1.csv	1	participant_5	1	1	1	1	1	1	cauliflower_mash_3	Cauliflower Mash	no_context	5	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	2	1	4	5	2	1	cauliflower_mash_3	Cauliflower Mash	no_context	3	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	4	3	3	4	4	3	cauliflower_mash_3	Cauliflower Mash	no_context	9	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	2	3	4	4	4	3	cauliflower_mash_3	Cauliflower Mash	no_context	2	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	5	4	5	5	4	4	cauliflower_mash_3	Cauliflower Mash	no_context	10	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	2	1	2	2	3	3	cauliflower_mash_3	Cauliflower Mash	no_context	11	1-3 times per week	402	6.7
list_1.csv	1	participant_11	3	3	2	3	3	3	cauliflower_mash_3	Cauliflower Mash	no_context	12	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	5	2	4	2	5	3	cauliflower_mash_3	Cauliflower Mash	no_context	2	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	2	2	2	2	1	2	cauliflower_mash_3	Cauliflower Mash	no_context	7	1-3 times per week	618	10.3
list_1.csv	1	participant_14	1	3	3	4	6	4	cauliflower_mash_3	Cauliflower Mash	no_context	4	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	4	3	3	4	3	3	cauliflower_mash_3	Cauliflower Mash	no_context	9	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	6	5	5	5	1	5	cauliflower_mash_3	Cauliflower Mash	no_context	1	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	1	3	4	5	6	3	cauliflower_mash_3	Cauliflower Mash	no_context	8	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	5	4	4	1	4	4	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	3	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	5	1	1	1	2	1	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	8	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	6	6	6	1	3	5	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	8	less than once per month	927	15.45
list_1.csv	1	participant_3	6	1	1	2	1	1	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	2	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	5	5	3	2	2	2	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	7	4-5 times per week	396	6.6
list_1.csv	1	participant_5	4	2	2	1	1	1	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	3	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	1	1	4	1	1	1	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	12	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	5	5	5	2	4	4	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	10	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	5	5	3	2	5	3	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	12	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	3	3	2	2	2	2	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	9	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	5	4	3	3	4	4	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	10	1-3 times per week	402	6.7
list_1.csv	1	participant_11	5	5	5	4	5	5	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	5	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	6	4	3	1	4	5	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	1	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	5	4	2	2	1	3	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	8	1-3 times per week	618	10.3
list_1.csv	1	participant_14	6	6	6	5	6	5	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	7	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	6	4	3	2	3	4	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	8	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	5	6	5	6	3	6	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	5	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	6	3	2	2	5	3	chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	context	10	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	4	3	5	6	4	4	garam_masala_3	Garam Masala	original	8	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	2	2	5	3	2	3	garam_masala_3	Garam Masala	original	3	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	6	6	6	6	6	6	garam_masala_3	Garam Masala	original	4	less than once per month	927	15.45
list_1.csv	1	participant_3	6	5	6	6	6	3	garam_masala_3	Garam Masala	original	7	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	6	6	5	6	6	5	garam_masala_3	Garam Masala	original	8	4-5 times per week	396	6.6
list_1.csv	1	participant_5	1	4	4	5	5	2	garam_masala_3	Garam Masala	original	9	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	6	6	6	6	6	6	garam_masala_3	Garam Masala	original	5	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	6	6	6	6	6	6	garam_masala_3	Garam Masala	original	11	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	5	4	6	5	5	5	garam_masala_3	Garam Masala	original	1	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	5	4	4	3	2	3	garam_masala_3	Garam Masala	original	12	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	5	5	5	5	5	5	garam_masala_3	Garam Masala	original	9	1-3 times per week	402	6.7
list_1.csv	1	participant_11	4	4	3	4	2	3	garam_masala_3	Garam Masala	original	10	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	6	5	6	6	5	6	garam_masala_3	Garam Masala	original	8	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	5	5	5	5	5	5	garam_masala_3	Garam Masala	original	6	1-3 times per week	618	10.3
list_1.csv	1	participant_14	6	6	6	6	6	6	garam_masala_3	Garam Masala	original	3	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	2	2	4	4	4	3	garam_masala_3	Garam Masala	original	1	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	3	3	3	3	6	4	garam_masala_3	Garam Masala	original	3	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	6	6	6	6	6	6	garam_masala_3	Garam Masala	original	9	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	3	1	4	5	5	4	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	1	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	2	1	1	2	1	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	11	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	2	3	4	5	4	2	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	3	less than once per month	927	15.45
list_1.csv	1	participant_3	1	1	1	4	2	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	10	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	4	3	5	2	2	2	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	1	4-5 times per week	396	6.6
list_1.csv	1	participant_5	1	1	1	2	1	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	6	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	1	1	1	1	1	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	9	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	4	2	1	2	3	2	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	6	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	2	3	3	4	4	2	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	5	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	2	2	2	2	2	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	11	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	1	1	3	3	3	3	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	12	1-3 times per week	402	6.7
list_1.csv	1	participant_11	5	4	5	5	4	4	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	6	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	4	3	4	5	3	5	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	5	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	2	1	1	1	1	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	9	1-3 times per week	618	10.3
list_1.csv	1	participant_14	5	5	6	6	6	5	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	5	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	3	3	4	2	3	3	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	11	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	6	4	4	5	1	6	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	2	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	1	1	1	1	1	1	homemade_pizza_dough_4	Homemade Pizza Dough	dependency	4	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	3	1	2	3	3	1	orange_chicken_5	Orange Chicken	coref	2	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	5	1	1	1	2	1	orange_chicken_5	Orange Chicken	coref	6	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	11	less than once per month	927	15.45
list_1.csv	1	participant_3	1	1	1	5	3	1	orange_chicken_5	Orange Chicken	coref	9	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	3	2	2	2	1	1	orange_chicken_5	Orange Chicken	coref	9	4-5 times per week	396	6.6
list_1.csv	1	participant_5	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	11	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	4	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	5	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	5	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	1	1	2	1	2	1	orange_chicken_5	Orange Chicken	coref	7	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	2	2	1	1	2	1	orange_chicken_5	Orange Chicken	coref	7	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	1	1	1	1	2	1	orange_chicken_5	Orange Chicken	coref	5	1-3 times per week	402	6.7
list_1.csv	1	participant_11	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	4	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	2	1	1	3	5	3	orange_chicken_5	Orange Chicken	coref	7	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	2	2	1	1	1	1	orange_chicken_5	Orange Chicken	coref	2	1-3 times per week	618	10.3
list_1.csv	1	participant_14	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	2	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	1	1	1	1	1	1	orange_chicken_5	Orange Chicken	coref	4	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	2	3	2	3	3	3	orange_chicken_5	Orange Chicken	coref	9	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	6	4	5	5	5	3	orange_chicken_5	Orange Chicken	coref	11	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	6	3	2	2	2	2	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	9	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	6	6	6	5	6	5	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	10	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	3	3	3	3	1	1	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	10	less than once per month	927	15.45
list_1.csv	1	participant_3	1	1	1	3	1	1	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	1	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	5	4	4	4	2	2	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	6	4-5 times per week	396	6.6
list_1.csv	1	participant_5	2	5	2	4	5	3	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	1	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	3	1	1	1	1	1	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	11	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	5	4	5	1	2	4	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	2	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	4	2	2	3	5	3	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	6	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	4	2	4	2	2	2	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	5	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	3	5	5	6	5	5	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	2	1-3 times per week	402	6.7
list_1.csv	1	participant_11	3	3	2	3	3	3	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	3	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	3	2	1	1	3	2	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	4	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	5	4	4	4	2	4	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	4	1-3 times per week	618	10.3
list_1.csv	1	participant_14	6	6	6	6	6	6	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	8	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	6	4	5	5	4	5	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	5	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	4	4	4	4	3	5	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	6	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	5	1	2	1	1	1	pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	no_context	1	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	5	3	6	6	6	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	3	3	3	2	3	3	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	2	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	5	4	5	5	4	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	9	less than once per month	927	15.45
list_1.csv	1	participant_3	6	1	1	4	4	1	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	5	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	5	4	3	3	1	1	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	5	4-5 times per week	396	6.6
list_1.csv	1	participant_5	2	1	5	5	1	1	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	4	1	4	1	1	1	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	10	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	5	5	4	4	3	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	6	5	5	4	5	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	11	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	5	5	5	5	5	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	4	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	4	4	4	5	4	3	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	6	1-3 times per week	402	6.7
list_1.csv	1	participant_11	2	2	2	1	2	2	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	2	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	4	5	5	6	4	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	6	4	5	4	4	4	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	1	1-3 times per week	618	10.3
list_1.csv	1	participant_14	6	6	6	6	6	6	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	11	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	4	5	5	5	4	5	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	4	5	4	3	6	4	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	4	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	6	6	6	6	6	6	slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	context	12	1-3 times per month	1176	19.6
list_1.csv	1	participant_0	5	5	6	6	6	5	waffles_7	Waffles	original	4	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	5	4	5	5	2	4	waffles_7	Waffles	original	5	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	5	5	6	6	6	6	waffles_7	Waffles	original	5	less than once per month	927	15.45
list_1.csv	1	participant_3	6	5	6	6	6	6	waffles_7	Waffles	original	12	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	5	4	3	3	2	2	waffles_7	Waffles	original	2	4-5 times per week	396	6.6
list_1.csv	1	participant_5	4	5	5	6	5	4	waffles_7	Waffles	original	2	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	3	2	4	5	5	4	waffles_7	Waffles	original	1	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	6	6	6	6	6	6	waffles_7	Waffles	original	8	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	6	6	6	6	6	6	waffles_7	Waffles	original	10	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	3	3	3	3	3	3	waffles_7	Waffles	original	2	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	5	5	5	5	5	5	waffles_7	Waffles	original	7	1-3 times per week	402	6.7
list_1.csv	1	participant_11	3	3	4	3	4	4	waffles_7	Waffles	original	7	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	6	6	5	6	6	5	waffles_7	Waffles	original	9	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	5	4	2	3	2	3	waffles_7	Waffles	original	10	1-3 times per week	618	10.3
list_1.csv	1	participant_14	6	6	6	6	6	6	waffles_7	Waffles	original	1	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	6	3	4	5	4	4	waffles_7	Waffles	original	7	almost everyday	1328	22.1333333333333
list_1.csv	1	participant_16	6	6	6	6	6	6	waffles_7	Waffles	original	12	1-3 times per month	431	7.18333333333333
list_1.csv	1	participant_17	6	6	6	6	6	6	waffles_7	Waffles	original	5	1-3 times per month	1176	19.6
list_2.csv	2	participant_18	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	1	1-3 times per week	525	8.75
list_2.csv	2	participant_19	6	6	5	5	6	5	baked_ziti_5	Baked Ziti	original	7	1-3 times per week	718	11.9666666666667
list_2.csv	2	participant_20	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	9	4-5 times per week	564	9.4
list_2.csv	2	participant_21	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	11	1-3 times per month	727	12.1166666666667
list_2.csv	2	participant_22	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	10	1-3 times per week	927	15.45
list_2.csv	2	participant_23	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	4	1-3 times per week	2042	34.0333333333333
list_2.csv	2	participant_24	5	4	5	5	6	5	baked_ziti_5	Baked Ziti	original	5	1-3 times per week	396	6.6
list_2.csv	2	participant_25	5	5	6	5	6	5	baked_ziti_5	Baked Ziti	original	2	1-3 times per month	523	8.71666666666667
list_2.csv	2	participant_26	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	12	1-3 times per week	1086	18.1
list_2.csv	2	participant_27	2	5	6	6	6	5	baked_ziti_5	Baked Ziti	original	6	1-3 times per week	859	14.3166666666667
list_2.csv	2	participant_28	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	12	almost everyday	1327	22.1166666666667
list_2.csv	2	participant_29	4	3	5	4	5	5	baked_ziti_5	Baked Ziti	original	3	1-3 times per week	406	6.76666666666667
list_2.csv	2	participant_30	5	5	5	5	5	5	baked_ziti_5	Baked Ziti	original	11	1-3 times per month	1276	21.2666666666667
list_2.csv	2	participant_31	6	6	6	6	6	6	baked_ziti_5	Baked Ziti	original	3	1-3 times per week	844	14.0666666666667
list_2.csv	2	participant_32	5	5	5	6	6	6	baked_ziti_5	Baked Ziti	original	5	less than once per month	1723	28.7166666666667
